response_d_tbond_d_tbond,response_d_tbond_spy_rt,response_spy_rt_d_tbond,response_spy_rt_spy_rt
1.0,0.0,0.0,1.0
-0.05284719986858491,-0.08926594083652582,-0.008006373811848959,-0.059939828397988074
0.04290027379118161,0.2437067914978561,9.835587093618738e-05,0.0515437973233781
0.036588909321749054,-0.16751010837168362,-0.004770014133068545,-0.053225666579343994
0.04234188596073086,-0.016535756965805212,-0.005791023314684573,-0.037591721110453946
-0.04615590418907113,0.06804545571700521,0.0032250647914614967,0.0008389556628518516
-0.04520403631689906,0.514177477275514,-0.007620648920683109,0.030500694058486627
-0.02601162110609727,0.1531397149506531,0.011025475541255809,-0.06276031126051991
-0.007840583032633621,0.03594568039595205,-0.0009460729296179491,0.0074438509423772285
-0.009082557720946367,-0.007444309460318659,0.001438609758868664,-0.009281467829532257
-0.009327178486880878,0.011700944098525849,0.00021813575346386698,-0.0008532071001022589
0.0015862361942354667,-0.023618226364093813,0.0009203721949909165,0.004277303273424975
0.0011795690040478498,-0.022090914170406414,-0.0006357002011765269,-0.0018568651801346607
